to_project_name,grant_pool_name,from_project_name,f0_
streamethorg,GG-19 - 0xd4cc0dd193c7dc1d665ae244ce12d7fab337a008,gitcoin,492.97300992066533
,GG-19 - 0xe168ac27b7c32db85478a6807640c8bca1220d15,gitcoin,26207.597009778081
fundingthecommons,GG-20 - 25,gitcoin,3351.682020097604
ens-wayback-machine-blossomlabs,GG-20 - 25,gitcoin,3176.4380279901584
yokifinance,GG-20 - 25,gitcoin,10301.321117629281
tor-project,GG-20 - 26,gitcoin,12688.248407117178
,GG-20 - 27,gitcoin,48736.500671698785
zkemail,GG-20 - 27,gitcoin,14687.210178510262
,GG-20 - 28,gitcoin,41757.721999277266
chimi-co,GG-20 - 28,gitcoin,4957.3818268196355
,GG-21 - 384,gitcoin,21120.133326805557
metagov,GG-21 - 385,gitcoin,677.642746303749
rndao,GG-21 - 386,gitcoin,1974.7542593207245
desci-latam,GG-21 - 387,gitcoin,2000.8686766950548
kleo-network,GG-21 - 44,gitcoin,13.087668645675876
ggframe,GG-22 - 608,gitcoin,333.43596268041415
pairwise-general-magic,GG-22 - 608,gitcoin,11818.825739556552
1hive,GG-22 - 608,gitcoin,2088.8207906986518
tapexyz,GG-22 - 608,gitcoin,1188.6604745856789
ethereum-cat-herders,GG-22 - 609,gitcoin,4692.4398797163694
dappnode,GG-22 - 610,gitcoin,33696.501501875347
blobscan,GG-22 - 610,gitcoin,4954.9390161983647
desci-latam,GG-22 - 641,gitcoin,478.9902466204544
mesoreefdao,PartnerRound - 0x0936de3fc187bdc3059a0a893c1cabe5384c418a - 137,gitcoin,84.86191103952811
vu3th,PartnerRound - 0x1d16f0eedf8ced25f288056ddcbb653d0f0451ad - 42161,gitcoin,3442.8765866879371
creativeplatform,PartnerRound - 0x3df423b3fe4a3d549a65d8f440b43a8a6f379670 - 10,gitcoin,173.85494884082522
luncosim,PartnerRound - 0x56e3ad5325f6b10e4d524731f37479d8f17153b7 - 137,gitcoin,89.364487549366785
,PartnerRound - 0x69a7abdc5fb0035cfb1e8f345c3d4015d30e8532 - 534352,gitcoin,6295.1925161793188
punk-domains,PartnerRound - 0x8b70206844630d8c0a2a545e92d3c8d46a3ceaad - 42161,gitcoin,4945.9525808308272
,PartnerRound - 0x984e29dcb4286c2d9cbaa2c238afdd8a191eefbc - 10,gitcoin,39260.108805802338
fractal-visions,PartnerRound - 0xd0a086c37fbd20c44f3ba2cff69208d1b62f54e3 - 42161,gitcoin,1483.3297464106233
viaprize,PartnerRound - 0xd875fa07bedce182377ee54488f08f017cb163d4 - 10,gitcoin,9891.4147498679013
,PartnerRound - 0xe6645e339be3d2036a18ec17aca62ae47e16207e - 42161,gitcoin,1103.9335934054398
luncosim,PartnerRound - 15 - 42161,gitcoin,17.866191493347287
,PartnerRound - 24 - 137,gitcoin,119.46569475787692
,PartnerRound - 4 - 324,gitcoin,366.29274747380987
,PartnerRound - 98 - 8453,gitcoin,60.036039309226908
yarnpkg,contributions,opencollective,62911.930000000008
boa-dev,contributions,opencollective,37986.3
vitest-dev,contributions,opencollective,7123.3399999999992
,retropgf2,optimism,2664898.5
revoke-cash,GG-04,gitcoin,562.48
metagov,GG-08,gitcoin,199.99724239217838
vyperlang,GG-08,gitcoin,5.9259515521518074
krebitdao,GG-11,gitcoin,75.330838162585863
spect-ai,GG-12,gitcoin,397.25277814460696
leastauthority,GG-12,gitcoin,555.43967698591291
nativesintech,GG-13,gitcoin,3477.8081123249394
4seascm,GG-15,gitcoin,3269.211287904669
decartography,GG-17 - 0x12bb5bbbfe596dbc489d209299b8302c3300fa40,gitcoin,467.60287565737963
itu-blockchain,GG-17 - 0x12bb5bbbfe596dbc489d209299b8302c3300fa40,gitcoin,659.59119012206793
seedlefinance,GG-17 - 0x12bb5bbbfe596dbc489d209299b8302c3300fa40,gitcoin,698.33852235227823
namesys-eth,GG-17 - 0x64e5b2228ef31437909900b38fc42dd5e4b83147,gitcoin,118.66069227457047
labrys-group,GG-17 - 0xaa40e2e5c8df03d792a52b5458959c320f86ca18,gitcoin,132.90529704093933
gnosischain,GG-18 - 0x2871742b184633f8dc8546c6301cbc209945033e,gitcoin,1317.7449220573603
voicedeck,GG-18 - 0x2871742b184633f8dc8546c6301cbc209945033e,gitcoin,1035.7886837100996
smartinvoicexyz,GG-18 - 0x8de918f0163b2021839a8d84954dd7e8e151326d,gitcoin,479.80157973559011
permetsystems,GG-18 - 0xb6be0ecafdb66dd848b0480db40056ff94a9465d,gitcoin,104.86713729143275
plancker-labs,GG-19 - 0x6726fe9c89fb04eaef388c11cf55be6aa0a62fb9,gitcoin,23.871807542200258
data4builders,GG-19 - 0x6726fe9c89fb04eaef388c11cf55be6aa0a62fb9,gitcoin,266.52818176876087
ethcali,GG-19 - 0x98720dd1925d34a2453ebc1f91c9d48e7e89ec29,gitcoin,171.98462187642431
w3projecthub,GG-19 - 0x98720dd1925d34a2453ebc1f91c9d48e7e89ec29,gitcoin,273.22874297281027
decert-me,GG-19 - 0x98720dd1925d34a2453ebc1f91c9d48e7e89ec29,gitcoin,447.88052681923295
gaslockr,GG-19 - 0xd4cc0dd193c7dc1d665ae244ce12d7fab337a008,gitcoin,546.55237638508538
luncosim,GG-19 - 0xd4cc0dd193c7dc1d665ae244ce12d7fab337a008,gitcoin,340.48895013174678
wildcards-protocol,GG-19 - 0xd4cc0dd193c7dc1d665ae244ce12d7fab337a008,gitcoin,426.95331780861386
basin-global,GG-21 - 11,gitcoin,752.83699684234523
lifespanio,GG-21 - 387,gitcoin,163.47781351490676
solidity-analyzer-parmanuxyz,PartnerRound - 0x1d16f0eedf8ced25f288056ddcbb653d0f0451ad - 42161,gitcoin,773.15847288588316
lexclinic,PartnerRound - 66 - 10,gitcoin,40.410649767887115
nacion-bankless,PartnerRound - 66 - 10,gitcoin,144.354973196167
,PartnerRound - 83 - 8453,gitcoin,24.507756382226944
julia-lang,contributions,opencollective,381420.72999999992
88-mph,GG-04,gitcoin,96.429999999999993
weekinethnews,GG-14,gitcoin,704.70578824889139
kernel-community,GG-17 - 0xaa40e2e5c8df03d792a52b5458959c320f86ca18,gitcoin,409.11451178789139
definomics-labs,GG-18 - 0x2871742b184633f8dc8546c6301cbc209945033e,gitcoin,557.503333359693
dragverse,GG-18 - 0x9331fde4db7b9d9d1498c09d30149929f24cf9d5,gitcoin,595.76935669461272
aqkuperu,GG-18 - 0xf591e42dfdfe8e62c2085ccaadfe05f84d89d0c6,gitcoin,658.04435832021852
greenpill-dev-guild,GG-20 - 25,gitcoin,1396.2082677636756
web3,GG-20 - 27,gitcoin,9149.5864161766367
mesoreefdao,GG-20 - 39,gitcoin,963.60243592325878
cryptosmartnow,GG-21 - 389,gitcoin,185.09707805941963
sourcify-ethereum,GG-22 - 609,gitcoin,4692.4398797163694
clrfund,GG-22 - 609,gitcoin,4692.4398797163694
unlock-protocol,GG-22 - 642,gitcoin,503.58365904473106
ecosynthesisx,PartnerRound - 0xc5262fc451a72f68f83563e30126d9c1d5d77659 - 42161,gitcoin,928.05127150288149
,PartnerRound - 4 - 8453,gitcoin,197.44181584077887
dna-seq,PartnerRound - 74 - 8453,gitcoin,74.635947018861771
attestation-station-interface-sbvegan,retropgf3,optimism,176616.37
ethhub-io,GG-04,gitcoin,13086.2880487448
tor-project,GG-15,gitcoin,194.53461497096495
democracyearth,GG-15,gitcoin,258.6997905982945
creativeplatform,GG-15,gitcoin,3.0204356038506734
gwamilabs,GG-17 - 0x421510312c40486965767be5ea603aa8a5707983,gitcoin,46.362492084503174
inferer,GG-18 - 0x9331fde4db7b9d9d1498c09d30149929f24cf9d5,gitcoin,233.10077207232214
heavenstoolsllc,GG-20 - 24,gitcoin,3084.5979930930002
commonsbuild,PartnerRound - 0x7492a8c4ed29b1f1559888bd832fae5d33e10370 - 424,gitcoin,256.97631329635323
gitcoin,PartnerRound - 0xc85686f394116ddf94dbfa86059e17047232c54f - 324,gitcoin,13.218205960580587
,PartnerRound - 657 - 42161,gitcoin,24.290094695985317
,PartnerRound - 658 - 42161,gitcoin,0.00011293999705230817
ipfs-search,contributions,opencollective,1112.31
motdotla,contributions,opencollective,831.23
crowdfundedcures,CGrants - Direct,gitcoin,50.97846452
grappafinance,CGrants - Direct,gitcoin,221.795145
endangeredtokens,GG-13,gitcoin,911.12662480425774
proxifydao,GG-17 - 0xaa40e2e5c8df03d792a52b5458959c320f86ca18,gitcoin,1671.5578165054321
dexkit,GG-22 - 608,gitcoin,153.84053031932831
,PartnerRound - 101 - 8453,gitcoin,74.894809068006
luncosim,PartnerRound - 37 - 534352,gitcoin,1.0179337672889233
eco-mint,GG-15,gitcoin,4206.2976222651268
quest-chains,GG-15,gitcoin,65.9680255874477
cadcad-org,GG-17 - 0x9e669c0a6e075f14ba9d9d98c3580ad67e20ec38,gitcoin,187.93497154116631
metagame-metafam,GG-17 - 0xdf22a2c8f6ba9376ff17ee13e6154b784ee92094,gitcoin,408.32993352413177
blobscan,GG-17 - 0xf1c021df6dc6b2dc2e5a837cdfddc2f42503233b,gitcoin,178.27182013168931
metagame-metafam,GG-18 - 0x2871742b184633f8dc8546c6301cbc209945033e,gitcoin,3.5062496662139893
urbanika,PartnerRound - 35 - 42161,gitcoin,42.33224019408226
,PartnerRound - 6 - 534352,gitcoin,2.2633587065474985
,PartnerRound - 655 - 42161,gitcoin,12.345866826930433
opscientia,CGrants - Direct,gitcoin,142.16962233846476
hardhat-nomicfoundation,GG-06,gitcoin,1176.9654674478686
freezingmoon,GG-11,gitcoin,8.8840532552634688
ens-wayback-machine-blossomlabs,GG-17 - 0x12bb5bbbfe596dbc489d209299b8302c3300fa40,gitcoin,567.29455823451281
